"","Year","Area","Street.2"
"1",2011,"Birmingham","Acocks Green"
"2",2011,"Unknown","Adderly Street"
"3",2011,"Unknown","Alcester Raod, Mosley"
"4",2011,"Unknown","Alcester Road"
"5",2011,"Unknown","Alcester Road Moseley"
"7",2011,"Unknown","Alfred Street"
"8",2011,"Unknown","All Service Club, Mosley"
"9",2011,"Unknown","Alum Rock Road"
"13",2011,"Unknown","Arcadian Centre"
"14",2011,"Unknown","Arden Road, Saltley"
"15",2011,"Unknown","Asda, Chemsley Wood"
"16",2011,"Unknown","Balsahll Heath Park, J/W Brighton Road"
"17",2011,"Unknown","Bamford Road"
"19",2011,"Unknown","Beechbrook Avenue Sparkhill"
"20",2011,"Unknown","Belchers Lane"
"23",2011,"Unknown","Belchers Lane, Bordesley Green"
"24",2011,"Unknown","Bell Street"
"25",2011,"Unknown","Berkley Rd East ,  Haymills."
"26",2011,"Unknown","Birmingham Airport"
"27",2011,"Unknown","Birmingham International Railway Station"
"28",2011,"Unknown","Bordesley Green"
"29",2011,"Unknown","Bordesley Green ,  Bordesley Green."
"30",2011,"Unknown","Bristol Road"
"31",2011,"Unknown","Bristol Street"
"32",2011,"Unknown","Broad Street"
"34",2011,"Unknown","Broad Street Birmingham"
"35",2011,"Unknown","Buckland End Lane Shard End"
"36",2011,"Unknown","Bulls Head Ph, St Marys Row"
"37",2011,"Unknown","Bushbury Road, Kitts Green"
"38",2011,"Unknown","Chartice Road"
"39",2011,"Unknown","Chestnut Road"
"40",2011,"Unknown","Church Rd, Stechford"
"41",2011,"Unknown","Church Road, Sheldon"
"42",2011,"Unknown","Clifford Rd Dorridge."
"43",2011,"Unknown","Clock Lane"
"44",2011,"Unknown","Colonial Road, Bordesley Green`"
"45",2011,"Unknown","Corporation St,Birmingham"
"46",2011,"Unknown","Corporation Street"
"47",2011,"Unknown","Coventry Rd Small Heath"
"48",2011,"Unknown","Coventry Rd, Small Heath, Bham"
"49",2011,"Unknown","Coventry Road"
"54",2011,"Unknown","Coventry Road, Small Heath"
"56",2011,"Unknown","Coventry Road,Small Heath"
"57",2011,"Unknown","Cranes Park Road"
"58",2011,"Unknown","Cranes Park Road Sheldon"
"59",2011,"Unknown","Crossfield Road"
"60",2011,"Unknown","Crossfields Road Kitts Green"
"61",2011,"Unknown","Cxhurch Rd, Stechford, Bham"
"62",2011,"Unknown","Digbeth High Street"
"63",2011,"Unknown","Edgbaston Road"
"64",2011,"Unknown","Edward Road. Moseley"
"65",2011,"Unknown","Fighting Cox Ph"
"66",2011,"Unknown","Foremans Road, Sparkhill"
"67",2011,"Unknown","Front Office, Kings Heath"
"68",2011,"Unknown","Garretts Green Road, Garretts Green"
"69",2011,"Unknown","Giles Close"
"70",2011,"Unknown","Giles Close, Stechford"
"71",2011,"Unknown","Glazedale Road"
"72",2011,"Unknown","Gospel Farm Road"
"74",2011,"Unknown","Gospel Lane"
"77",2011,"Unknown","Gospel Lane, Acocks Green"
"78",2011,"Unknown","Grace Church, Sutton Coldfield"
"79",2011,"Unknown","Great Hampton Street"
"80",2011,"Unknown","Green Lane"
"81",2011,"Unknown","Greswell Lane Shard End"
"82",2011,"Unknown","Harlequin Drive, Mosley"
"83",2011,"Unknown","Haslucks Green Road"
"84",2011,"Unknown","Hazeldean Road"
"85",2011,"Unknown","Heartlands Hospital"
"87",2011,"Unknown","Heartlands Hospital A & E."
"90",2011,"Unknown","Hepben Grove"
"91",2011,"Unknown","Herrick Road"
"92",2011,"Unknown","Herrick Road, Washwood Heath"
"94",2011,"Unknown","High St Solihull"
"95",2011,"Unknown","High Street Kings Heath"
"97",2011,"Unknown","High Street, Kings Heath"
"98",2011,"Unknown","Hob Moor Road At Starbank Road"
"99",2011,"Unknown","Holloway Head Bham City Centre"
"100",2011,"Unknown","Hollywell Road"
"101",2011,"Unknown","Home Address"
"103",2011,"Unknown","Homer Street"
"104",2011,"Unknown","Hunters Moon Public House."
"105",2011,"Unknown","Hurst Street"
"108",2011,"Unknown","Hurst Street, Birmingham"
"109",2011,"Unknown","Kings Heath High Street"
"110",2011,"Unknown","Knowle Rd, Small Heath, Bham"
"111",2011,"Unknown","Ladypool Road"
"113",2011,"Unknown","Ladywell Walk"
"114",2011,"Unknown","Lea Hall Rd"
"116",2011,"Unknown","Lea Village, Stechford"
"117",2011,"Unknown","Lenches Close, Mosley"
"118",2011,"Unknown","Lime Tree Road"
"119",2011,"Unknown","Lode Lane @ Hermitage Road"
"120",2011,"Unknown","Long Street"
"121",2011,"Unknown","Long Street. Sparkhill"
"122",2011,"Unknown","Longbridge Lane"
"123",2011,"Unknown","Longmeadow Crescent Shard End , Bham"
"124",2011,"Unknown","Maccadown Lane"
"125",2011,"Unknown","Masshouse Lane"
"126",2011,"Unknown","Meadwaym Stechford"
"127",2011,"Unknown","Mickleover Road, Bromford"
"128",2011,"Unknown","Moorcroft Road"
"129",2011,"Unknown","Moseley Road"
"133",2011,"Unknown","Moseley Village"
"135",2011,"Unknown","Moseley Village, Alcester Road"
"136",2011,"Unknown","Mosley All Services Club, Church Road, Moseley."
"137",2011,"Unknown","Nearlands Close Quinton"
"138",2011,"Unknown","New Street"
"139",2011,"Unknown","Northfield High Street"
"140",2011,"Unknown","O/S Behans, Highfield Road, Billesley"
"141",2011,"Unknown","O/S The Junction, Mosley Village"
"142",2011,"Unknown","O/S Washwood Heath Road"
"143",2011,"Unknown","Oakhill Road, Acocks Green"
"144",2011,"Unknown","Opp White Hart Lane Cooks Lane"
"145",2011,"Unknown","Opposite, Aldi, Stratford Road"
"146",2011,"Unknown","Outside Java Lounge Alcester Road"
"147",2011,"Unknown","Outside O2 Academy Night Club B'ham City Centre"
"148",2011,"Unknown","Outside Raven Public House"
"149",2011,"Unknown","Packington Avenue, Shard End"
"150",2011,"Unknown","Park Off Hob Moor Road"
"151",2011,"Unknown","Parkhall Croft"
"152",2011,"Unknown","Pear Tree Ph"
"153",2011,"Unknown","Police Station"
"154",2011,"Unknown","Police Station Stechford"
"155",2011,"Unknown","Poplar Road"
"157",2011,"Unknown","Poplar Road , Solihull"
"158",2011,"Unknown","Poplar Road, Solihull"
"159",2011,"Unknown","Preston Road"
"160",2011,"Unknown","Priory Road, Hall Green"
"161",2011,"Unknown","Prospect Road"
"162",2011,"Unknown","Queenswood Road"
"163",2011,"Unknown","Rear Of Boots, High Street"
"164",2011,"Unknown","Reddings Lane, Tsyley"
"165",2011,"Unknown","Richmond Primary Care Centre, Richmond Road, Stechford"
"166",2011,"Unknown","Ring Road, Stourbridge"
"167",2011,"Unknown","Sainsburys, Wawrick Road"
"168",2011,"Unknown","Sainsburys. Alcester Road South"
"169",2011,"Unknown","Sandford Road Moseley"
"170",2011,"Unknown","Sarehole Mill"
"171",2011,"Unknown","Sedgemere Road"
"172",2011,"Unknown","Shirley Road"
"174",2011,"Unknown","Snow Hill"
"175",2011,"Unknown","Solihull Lane"
"176",2011,"Unknown","St Mary's Road, Moseley"
"177",2011,"Unknown","St Marys Row"
"178",2011,"Unknown","Station Road"
"179",2011,"Unknown","Station Way, Birmingham International Rail Station"
"180",2011,"Unknown","Stechford Front Office"
"181",2011,"Unknown","Stechford P.s."
"182",2011,"Unknown","Stechford Retail Park."
"183",2011,"Unknown","Stonehenge Croft Druids Heath"
"184",2011,"Unknown","Stoney Lane"
"187",2011,"Unknown","Stratford Heath, Spark Hill, Birmingham"
"188",2011,"Unknown","Stratford Road"
"191",2011,"Unknown","Stratford Road, Hall Green"
"192",2011,"Unknown","Stratford Roads"
"193",2011,"Unknown","Stuart Road, Stechford"
"194",2011,"Unknown","Talbort Street"
"195",2011,"Unknown","Taunton Road"
"196",2011,"Unknown","Tavistock Road"
"197",2011,"Unknown","The Avenue"
"198",2011,"Unknown","The Paer Tree Pub"
"199",2011,"Unknown","Trafalger Road"
"200",2011,"Unknown","Wake Green Road"
"201",2011,"Unknown","Ward End Road"
"202",2011,"Unknown","Warwick Road"
"207",2011,"Unknown","Warwick Road Tysley"
"208",2011,"Unknown","Wash Lane"
"209",2011,"Unknown","Washford Heath Road"
"210",2011,"Unknown","Washwood Heath Pub"
"211",2011,"Unknown","Washwood Heath Rd, Washwood Heath, Bham"
"212",2011,"Unknown","Washwood Heath Road"
"216",2011,"Unknown","Watery Lane Middleway, Birmingham"
